Year,Organisation,Critical Industry,Sector,Country,Attack type,Attacker,Attack vector,Summary
2017,"ABCD Pediatrics, P.A.",Yes,Human health activities,USA,Installed malware,External,,Ransomware 
2015,Advantage Dental,Yes,Human health activities,USA,Installed malware,External,Social engineering,Malware installed
2018,AdventHealth Rollins Brook Hospital,Yes,Human health activities,USA,Installed malware,External,,Malware installed
2014,Affinity Gaming,No,"Arts, entertainment and recreation",USA,Installed malware,External,,Malware installed
2017,"Airway Oxygen, Inc.",Yes,Chemicals and chemical products,USA,Installed malware,External,,Ransomware 
2018,Alaska Department of Health  Social Services,Yes,Human health activities,USA,Installed malware,External,Social engineering,Malware installed
2017,"Andrea Yaley, DDS",Yes,Human health activities,USA,Installed malware,External,,Ransomware 
2016,"Anne M. Cummings, M.D. F.A.C.P",Yes,Human health activities,USA,Installed malware,External,Vendor vulnerability,Ransomware 
2017,Arby's,Yes,Accommodation and food service activities,USA,Installed malware,External,,Malware installed on PoS
2017,Arkansas Oral & Facial Surgery Center,Yes,Human health activities,USA,Installed malware,External,,Ransomware 
2017,Ashland Women's Health,Yes,Human health activities,USA,Installed malware,External,,Ransomware 
2016,"Atlantis, Paradise Island",No,Accommodation and food service activities,USA,Installed malware,External,Unknown network attack,Malware installed on PoS
2016,"Atlantis, Paradise Island",No,Accommodation and food service activities,USA,Installed malware,External,Unknown network attack,Malware installed on PoS
2012,Aultman Hospital,Yes,Human health activities,USA,Installed malware,External,Unknown device attack,Malware installed
2014,Backcountry Gear,No,"Wholesale, retail trade and repair",USA,Installed malware,External,Unknown website/web application attack,Malware installed
2015,Barbecue Renew,No,"Wholesale, retail trade and repair",USA,Installed malware,External,Unknown website/web application attack,Website was compromised and malware was installed taking data
2012,Barnes & Noble,No,"Publishing, audiovisual and broadcasting",USA,Installed malware,External,Unknown network attack,Malware installed on PoS
2013,Barry University Foot and Ankle Institute,Yes,Human health activities,USA,Installed malware,External,Physical device,Malware installed
2013,Bashas',No,"Wholesale, retail trade and repair",USA,Installed malware,External,Unknown network attack,Malware installed on PoS
